D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E3,E4,E5,E6,E7,E8,E9,I1,I2,I3,I4,I5,I6,I7,I8,I9,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M2,M3,M4,M5,M6,M7,M8,M9,P1,P10,P11,P12,P13,P2,P3,P4,P5,P6,P7,P8,P9,S1,S10,S11,S12,S2,S3,S4,S5,S6,S7,S8,S9,V1,V10,V11,V12,V13,V2,V3,V4,V5,V6,V7,V8,V9,forward_returns,risk_free_rate,market_forward_excess_returns,date_id,lagged_forward_returns,lagged_risk_free_rate,lagged_market_forward_excess_returns
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.3900146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.618000030517578,2.868000030517578,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6936189952.0,3092371758.598275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.80078125,0.0,0.0,0.0,0.0,1.020042005905475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10397.900390625,0.0,19.850000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.784706339308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531933937233797,6.420635041736421e-05,0.0498151385744391,1,-0.0305529975651492,6.488095200251019e-05,-0.0338319519444583
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.3499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.590000033378601,2.803999900817871,1.21399986743927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7317279744.0,3330577992.831731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.9296875,0.0,0.0,0.0,0.0,1.050840073330934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10951.0,0.0,22.46999931335449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.6180502799152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123642033261801,6.309523941978576e-05,0.008920704646753,2,0.0531933937233797,6.420635041736421e-05,0.0498151385744391
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.949951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6050000190734863,2.8570001125335693,1.252000093460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7620590080.0,3415773129.4550896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421.669921875,0.0,0.0,0.0,0.0,1.0355779326243109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11086.400390625,0.0,19.59000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.935157942094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363778855604512,6.369047694736057e-05,0.032933876588063,3,0.0123642033261801,6.309523941978576e-05,0.008920704646753
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.949951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6050000190734863,2.8570001125335693,1.252000093460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6690570240.0,2998910820.108551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,0.0,0.0,0.0,0.0,1.0511961508314136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11489.7001953125,0.0,19.59000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.1052405167604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019930384320943,6.369047694736057e-05,-0.0014721225902776,4,0.0363778855604512,6.369047694736057e-05,0.032933876588063
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.949951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6050000190734863,2.8570001125335693,1.252000093460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6084149760.0,2727095283.6487737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,1.0383385543110364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11512.599609375,0.0,19.59000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.6666064089366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052725012049468,6.369047694736057e-05,0.0018097843099119,5,0.0019930384320943,6.369047694736057e-05,-0.0014721225902776
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.2099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,2.88100004196167,1.25600004196167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6468539904.0,2871078491.2966256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.3994140625,0.0,0.0,0.0,0.0,1.0221415403429863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11573.2998046875,0.0,18.729999542236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.9181090071708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0685542954431329,6.448412698412699e-05,-0.0581124415766944,6,0.0052725012049468,6.369047694736057e-05,0.0018097843099119
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.6600341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6430000066757202,2.877000093460083,1.2340000867843628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6832169984.0,3023083995.4059486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171.099609375,0.0,0.0,0.0,0.0,0.9549554777584652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10779.900390625,0.0,18.36000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.9308392804307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0755415215926486,6.519841296332222e-05,-0.0581124415766944,7,-0.0685542954431329,6.448412698412699e-05,-0.0581124415766944
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.1600341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.649999976158142,2.882999897003174,1.2329999208450315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8797910016.0,3881716416.63101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1120.830078125,0.0,0.0,0.0,0.0,0.9007029560532782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9965.5703125,0.0,17.760000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.2912931620567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0572531755818666,6.547618953008501e-05,-0.0581124415766944,8,-0.0755415215926486,6.519841296332222e-05,-0.0581124415766944
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.1500244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6349999904632568,2.865999937057495,1.2309999465942385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7186089984.0,3193108241.0681777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2094.6904296875,0.0,0.0,0.0,0.0,0.8825520152140549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9395.009765625,0.0,16.540000915527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.9720039666059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061160086440503,6.488095200251019e-05,-0.0094062028650535,9,-0.0572531755818666,6.547618953008501e-05,-0.0581124415766944
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.4599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6349999904632568,2.8940000534057617,1.2590000629425049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8704190464.0,3843758169.947138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2175.0498046875,0.0,0.0,0.0,0.0,0.914525614748728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9337.5498046875,0.0,14.640000343322754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.3181959864623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0505003790663348,6.488095200251019e-05,-0.0537601192783117,10,-0.0061160086440503,6.488095200251019e-05,-0.0094062028650535
